Wind Speed (m/s),Thrust Coeffecient,Power (MW)
20.5,0.110895402,3
20.6,0.109369426,3
20.7,0.107896076,3
20.8,0.106472264,3
20.9,0.105094906,3
21,0.103761576,3
21.1,0.10247822,3
21.2,0.101242482,3
21.3,0.100048511,3
21.4,0.098890457,3
21.5,0.097762468,3
21.6,0.096658694,3
21.7,0.095573283,3
21.8,0.094500385,3
21.9,0.093434149,3
22,0.092368723,3
22.1,0.091313363,3
22.2,0.090284502,3
22.3,0.089276939,3
22.4,0.088285286,3
22.5,0.087304157,3
22.6,0.086328163,3
22.7,0.085351919,3
22.8,0.084370036,3
22.9,0.083377129,3
23,0.082367808,3
23.1,0.081331825,3
23.2,0.080242497,3
23.3,0.079112653,3
23.4,0.077961453,3
23.5,0.07680806,3
23.6,0.075671635,3
23.7,0.07457134,3
23.8,0.073526336,3
23.9,0.072555784,3
24,0.071678847,3
24.1,0.070890932,3
24.2,0.070132551,3
24.3,0.069402738,3
24.4,0.068705072,3
24.5,0.068043129,3
24.6,0.06742049,3
24.7,0.066840733,3
24.8,0.066307435,3
24.9,0.065824175,3
25,0.065394533,3
25.1,0,0
25.2,0,0
25.3,0,0
25.4,0,0
25.5,0,0
25.6,0,0
25.7,0,0
25.8,0,0
25.9,0,0
26,0,0
26.1,0,0
26.2,0,0
26.3,0,0
26.4,0,0
26.5,0,0
26.6,0,0
26.7,0,0
26.8,0,0
26.9,0,0
27,0,0
27.1,0,0
27.2,0,0
27.3,0,0
27.4,0,0
27.5,0,0
27.6,0,0
27.7,0,0
27.8,0,0
27.9,0,0
28,0,0
28.1,0,0
28.2,0,0
28.3,0,0
28.4,0,0
28.5,0,0
28.6,0,0
28.7,0,0
28.8,0,0
28.9,0,0
29,0,0
29.1,0,0
29.2,0,0
29.3,0,0
29.4,0,0
29.5,0,0
29.6,0,0
29.7,0,0
29.8,0,0
29.9,0,0
30,0,0
30.1,0,0
30.2,0,0
30.3,0,0
30.4,0,0
30.5,0,0
30.6,0,0
30.7,0,0
30.8,0,0
30.9,0,0
31,0,0
31.1,0,0
31.2,0,0
31.3,0,0
31.4,0,0
31.5,0,0
31.6,0,0
31.7,0,0
31.8,0,0
31.9,0,0
32,0,0
32.1,0,0
32.2,0,0
32.3,0,0
32.4,0,0
32.5,0,0
32.6,0,0
32.7,0,0
32.8,0,0
32.9,0,0
33,0,0
33.1,0,0
33.2,0,0
33.3,0,0
33.4,0,0
33.5,0,0
33.6,0,0
33.7,0,0
33.8,0,0
33.9,0,0
34,0,0
34.1,0,0
34.2,0,0
34.3,0,0
34.4,0,0
34.5,0,0
34.6,0,0
34.7,0,0
34.8,0,0
34.9,0,0
35,0,0
35.1,0,0
35.2,0,0
35.3,0,0
35.4,0,0
35.5,0,0
35.6,0,0
35.7,0,0
35.8,0,0
35.9,0,0
36,0,0
36.1,0,0
36.2,0,0
36.3,0,0
36.4,0,0
36.5,0,0
36.6,0,0
36.7,0,0
36.8,0,0
36.9,0,0
37,0,0
37.1,0,0
37.2,0,0
37.3,0,0
37.4,0,0
37.5,0,0
37.6,0,0
37.7,0,0
37.8,0,0
37.9,0,0
38,0,0
38.1,0,0
38.2,0,0
38.3,0,0
38.4,0,0
38.5,0,0
38.6,0,0
38.7,0,0
38.8,0,0
38.9,0,0
39,0,0
39.1,0,0
39.2,0,0
39.3,0,0
39.4,0,0
39.5,0,0
39.6,0,0
39.7,0,0
39.8,0,0
39.9,0,0
40,0,0
40.1,0,0
40.2,0,0
40.3,0,0
40.4,0,0
40.5,0,0
40.6,0,0
40.7,0,0
40.8,0,0
40.9,0,0
41,0,0
41.1,0,0
41.2,0,0
41.3,0,0
41.4,0,0
41.5,0,0
41.6,0,0
41.7,0,0
41.8,0,0
41.9,0,0
42,0,0
42.1,0,0
42.2,0,0
42.3,0,0
42.4,0,0
42.5,0,0
42.6,0,0
42.7,0,0
42.8,0,0
42.9,0,0
43,0,0
43.1,0,0
43.2,0,0
43.3,0,0
43.4,0,0
43.5,0,0
43.6,0,0
43.7,0,0
43.8,0,0
43.9,0,0
44,0,0
44.1,0,0
44.2,0,0
44.3,0,0
44.4,0,0
44.5,0,0
44.6,0,0
44.7,0,0
44.8,0,0
44.9,0,0
45,0,0
45.1,0,0
45.2,0,0
45.3,0,0
45.4,0,0
45.5,0,0
45.6,0,0
45.7,0,0
45.8,0,0
45.9,0,0
46,0,0
46.1,0,0
46.2,0,0
46.3,0,0
46.4,0,0
46.5,0,0
46.6,0,0
46.7,0,0
46.8,0,0
46.9,0,0
47,0,0
47.1,0,0
47.2,0,0
47.3,0,0
47.4,0,0
47.5,0,0
47.6,0,0
47.7,0,0
47.8,0,0
47.9,0,0
48,0,0
48.1,0,0
48.2,0,0
48.3,0,0
48.4,0,0
48.5,0,0
48.6,0,0
48.7,0,0
48.8,0,0
48.9,0,0
49,0,0
49.1,0,0
49.2,0,0
49.3,0,0
49.4,0,0
49.5,0,0
49.6,0,0
49.7,0,0
49.8,0,0
49.9,0,0
50,0,0
